no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
no selectJudge  0
t,7652,0.483465,0.004803,0.000000,6.333079
t,17661,0.535098,0.009896,5.163249,27.191902
t,27698,0.555751,0.015350,2.065301,15.432936
t,37690,0.564012,0.020949,0.826120,10.763515
t,47713,0.532542,0.026432,-3.147012,-5.085986
t,57605,0.515355,0.031671,-1.718634,0.313659
t,67637,0.508481,0.036790,-0.687456,4.297077
t,77626,0.510578,0.041886,0.209743,7.874372
t,87630,0.525449,0.047066,1.487035,13.100926
t,97628,0.531397,0.052350,0.594813,9.751429
t,107810,0.533776,0.057676,0.237924,8.443751
t,117607,0.503986,0.062865,-2.978975,-4.437531
t,127628,0.492070,0.067845,-1.191592,2.428156
t,137608,0.487304,0.072742,-0.476635,5.203497
t,147599,0.485397,0.077605,-0.190654,6.342669
t,160340,0.481127,0.082438,-0.427046,5.413550
t,167538,0.479419,0.087241,-0.170821,6.438651
t,177521,0.478736,0.092032,-0.068325,6.877411
t,187527,0.481395,0.096832,0.265974,8.263759
t,197517,0.483034,0.101654,0.163871,7.935083
t,207510,0.483689,0.106488,0.065547,7.608478
t,217551,0.483952,0.111326,0.026220,7.506892
t,227515,0.470302,0.116097,-1.365018,1.951324
t,237507,0.464841,0.120773,-0.546005,5.121249
t,247503,0.462657,0.125411,-0.218400,6.416892
t,257524,0.413363,0.129791,-4.929462,-12.553277
t,267625,0.386748,0.133791,-2.661529,-4.014334
t,277514,0.376101,0.137606,-1.064610,2.113393
t,287541,0.363764,0.141305,-1.233715,1.330497
t,297562,0.340715,0.144827,-2.304888,-3.111489
t,307537,0.331496,0.148188,-0.921953,2.195714
t,317558,0.327808,0.151485,-0.368780,4.338112
t,327539,0.292658,0.154587,-3.514966,-8.357938
t,337551,0.278599,0.157443,-1.405987,-0.287134
t,347537,0.272975,0.160201,-0.562394,2.957348
t,357534,0.261031,0.162871,-1.194400,0.363953
t,367523,0.234631,0.165350,-2.639943,-5.592077
t,377555,0.224071,0.167643,-1.055977,0.471051
t,387677,0.219848,0.169863,-0.422391,2.909319
t,397521,0.207911,0.172002,-1.193678,-0.232491
t,407514,0.203136,0.174057,-0.477472,2.519195
t,417552,0.201226,0.176079,-0.190988,3.631871
t,427781,0.161139,0.177890,-4.008731,-11.760344
t,437524,0.139356,0.179393,-2.178279,-4.889730
t,447611,0.130643,0.180743,-0.871313,0.107667
t,457545,0.107769,0.181935,-2.287415,-5.700574
t,467658,0.055950,0.182754,-5.181850,-17.654327
t,477536,0.035223,0.183209,-2.072740,-5.793697
t,487528,0.026932,0.183520,-0.829096,-1.048158
t,497543,-0.000446,0.178849,-2.737768,-8.894596
t,507578,-0.014271,0.173683,-1.382501,-3.840442
t,517534,-0.019801,0.168058,-0.553000,-0.733527
t,527536,-0.025244,0.162234,-0.544345,-0.828775
t,537543,-0.031504,0.156468,-0.626004,-1.286290
t,547555,-0.034008,0.150901,-0.250401,0.090336
t,557535,-0.035010,0.145437,-0.100160,0.608612
t,567520,-0.053606,0.139898,-1.859579,-6.550249
t,577551,-0.063343,0.134133,-0.973748,-3.279746
t,587573,-0.067238,0.128196,-0.389499,-1.111181
t,597676,-0.072028,0.122174,-0.478944,-1.582501
t,607526,-0.084467,0.116203,-1.243935,-4.787389
t,617534,-0.089443,0.110353,-0.497574,-1.999766
t,627575,-0.091433,0.104552,-0.199030,-0.919328
t,637785,-0.140650,0.098528,-4.921709,-20.037838
t,647540,-0.166660,0.092159,-2.600947,-11.388682
t,657508,-0.177063,0.085637,-1.040380,-5.502933
t,667517,-0.181225,0.079055,-0.416151,-3.188361
t,677549,-0.193137,0.072383,-1.191181,-6.432557
t,687550,-0.197901,0.065605,-0.476474,-3.774913
t,697530,-0.199807,0.058783,-0.190589,-2.752960
t,707563,-0.192491,0.051983,0.731635,0.870828
t,717531,-0.171450,0.045392,2.104050,6.430863
t,727544,-0.163034,0.039044,0.841621,1.553318
t,737519,-0.159668,0.032793,0.336649,-0.434819
t,747510,-0.090397,0.027163,6.927049,26.111954
t,757506,-0.062689,0.022397,2.770820,10.215211
t,767530,-0.051606,0.018011,1.108328,3.831715
t,777575,-0.054654,0.013780,-0.304851,-1.761621
t,787523,-0.057023,0.009700,-0.236899,-1.568213
t,797526,-0.057971,0.005764,-0.094759,-1.065547
t,807609,-0.058350,0.001886,-0.037904,-0.887519
t,817745,-0.089243,-0.001955,-3.089310,-13.228018
t,827519,-0.101600,-0.005765,-1.235724,-6.197781
t,837518,-0.106543,-0.009564,-0.494289,-3.408428
t,847546,-0.132756,-0.013430,-2.621326,-12.083309
t,857683,-0.203450,-0.017590,-7.069339,-30.391167
nextSection 1 =============================
t,887405,-0.275371,-0.002592,0.000000,-3.605742
t,897653,-0.288304,-0.005410,-1.293314,-8.845980
t,907448,-0.293477,-0.008319,-0.517327,-5.915972
t,917372,-0.262089,-0.011097,3.138802,8.723194
t,927396,-0.244936,-0.013632,1.715347,3.369366
t,937427,-0.238074,-0.016047,0.686139,-0.579499
t,947393,-0.233714,-0.018406,0.436035,-1.521810
t,957375,-0.228462,-0.020717,0.525191,-1.128933
t,967399,-0.226361,-0.022991,0.210077,-2.353312
t,977392,-0.225521,-0.025251,0.084031,-2.856562
t,987403,-0.254268,-0.027650,-2.874720,-14.793392
t,997393,-0.335924,-0.030601,-8.165565,-36.518726
t,1007395,-0.368586,-0.034123,-3.266224,-17.871128
t,1017384,-0.381651,-0.037874,-1.306492,-10.435527
t,1027398,-0.472937,-0.042147,-9.128589,-42.171154
t,1037400,-0.509451,-0.047059,-3.651440,-21.334078
t,1047379,-0.524057,-0.052227,-1.460576,-13.031257
t,1057409,-0.628059,-0.057987,-10.400165,-49.305279
t,1067520,-0.683454,-0.064545,-5.539548,-31.134592
t,1077377,-0.705612,-0.071490,-2.215815,-18.529541
t,1087372,-0.714476,-0.078591,-0.886333,-13.530790
t,1097398,-0.678073,-0.085553,3.640240,4.526450
t,1107590,-0.663512,-0.092261,1.456094,-3.869509
t,1117399,-0.657688,-0.098867,0.582439,-7.267107
