SCENE
hackEv3_base
file opened 
ADVANCED build
Press Left/Right Button to caribration.
battery 8224
RIGHT COUSE
calib 238,254,254
battery 8224
RIGHT COUSE
calib 238,254,254
battery 8224
RIGHT COUSE
calib 238,254,254
battery 8224
RIGHT COUSE
calib 238,254,254
battery 8224
RIGHT COUSE
calib 226,254,254
battery 8224
RIGHT COUSE
calib 226,254,254
battery 8224
RIGHT COUSE
calib 192,216,227
battery 8224
RIGHT COUSE
calib 192,216,227
no selectJudge  0
no selectJudge  0
pulse R
t,1317,0.585785,0.005840,0.000000,11.510417
pulse R
t,11323,0.571585,0.011627,-1.420057,5.782086
pulse R
t,21319,0.565905,0.017314,-0.568020,9.079576
pulse R
t,31268,0.563632,0.022962,-0.227213,10.449134
pulse R
t,41562,0.562724,0.028594,-0.090885,11.047567
pulse R
t,51333,0.559728,0.034206,-0.299519,10.259671
pulse R
t,61346,0.558530,0.039797,-0.119811,11.021038
t,71303,0.558051,0.045380,-0.047922,11.375805
t,81296,0.517276,0.050757,-4.077530,-5.054134
t,91333,0.500966,0.055848,-1.631016,4.245592
t,101298,0.494442,0.060825,-0.652403,8.009619
t,111322,0.513605,0.065865,1.916391,18.477213
t,121394,0.523827,0.071053,1.022130,15.266721
t,131328,0.527915,0.076311,0.408852,13.033543
t,141294,0.529551,0.081599,0.163543,12.188038
t,151295,0.565345,0.087073,3.579450,26.290182
t,161185,0.579663,0.092798,1.431775,18.279324
t,171165,0.585390,0.098623,0.572717,15.128057
t,185045,0.615461,0.104628,3.007090,25.298557
t,191357,0.627489,0.110842,1.202834,18.589731
t,201211,0.632301,0.117141,0.481135,15.963411
t,211197,0.634225,0.123474,0.192457,14.970088
t,221212,0.657332,0.129932,2.310646,23.778465
t,231417,0.666574,0.136551,0.924259,18.651083
t,241192,0.670271,0.143236,0.369704,16.660671
t,251183,0.685553,0.150015,1.528138,21.578239
t,261205,0.693582,0.156910,0.802940,19.009975
t,271220,0.696794,0.163862,0.321180,17.298018
t,281167,0.698079,0.170837,0.128472,16.676125
t,291220,0.698593,0.177820,0.051385,16.490257
t,301211,0.698798,0.184807,0.020558,16.478842
t,311208,0.698880,0.191795,0.008219,16.537151
t,321291,0.699552,0.198788,0.067180,16.885082
t,331222,0.699821,0.205784,0.026876,16.838089
t,341201,0.699928,0.212783,0.010747,16.882261
t,351213,0.699971,0.219783,0.004303,16.962965
t,361272,0.699989,0.226782,0.001717,17.058208
t,371374,0.699995,0.233782,0.000691,17.159344
